,ProductName,CorrectedPrice,BBScrapedPrice,BBCorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType,BBVendorType,BBVendor
43,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),65.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
44,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),70.07,41.35,41.35,Self Help Pest Control Online,Other,O,Ships from and sold by Solutions Pest & Lawn.
45,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",20.04,16.93,24.1,iboats,Other,Amazon,Ships from and sold by Amazon.com.
46,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",21.98,16.93,24.1,HARVARD MARINE,Other,Amazon,Ships from and sold by Amazon.com.
47,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",21.98,16.93,24.1,WEGOTTHEGOODS4U,Other,Amazon,Ships from and sold by Amazon.com.
48,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",22.0,16.93,24.1,Neals Harbor,Other,Amazon,Ships from and sold by Amazon.com.
49,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",24.1,16.93,24.1,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
50,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",24.3,16.93,24.1,Trends-Auto,Other,Amazon,Ships from and sold by Amazon.com.
51,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",25.22,16.93,24.1,iboats,Other,Amazon,Ships from and sold by Amazon.com.
52,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",25.26,16.93,24.1,Mijvek Inc.,FBA,Amazon,Ships from and sold by Amazon.com.
53,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",26.26,16.93,24.1,FirstChoiceMarine,Other,Amazon,Ships from and sold by Amazon.com.
54,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",26.85,16.93,24.1,Syko Helmets USA,Other,Amazon,Ships from and sold by Amazon.com.
55,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",26.89,16.93,24.1,Wholesale Marine,Other,Amazon,Ships from and sold by Amazon.com.
56,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",27.23,16.93,24.1,Great Household,FBA,Amazon,Ships from and sold by Amazon.com.
57,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",27.23,16.93,24.1,Great Household,FBA,Amazon,Ships from and sold by Amazon.com.
58,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",28.99,16.93,24.1,JD PowerSellers,Other,Amazon,Ships from and sold by Amazon.com.
59,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",29.44,16.93,24.1,Tweetys,Other,Amazon,Ships from and sold by Amazon.com.
60,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",29.48,16.93,24.1,Rainier Part Shop,Other,Amazon,Ships from and sold by Amazon.com.
61,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",29.94,16.93,24.1,TheHubCompanies,Other,Amazon,Ships from and sold by Amazon.com.
62,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",31.0,16.93,24.1,Got-Chrome,Other,Amazon,Ships from and sold by Amazon.com.
63,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",31.97,16.93,24.1,Autoplicity,Other,Amazon,Ships from and sold by Amazon.com.
64,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",32.07,16.93,24.1,OutdoorDeals,Other,Amazon,Ships from and sold by Amazon.com.
65,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",32.24,16.93,24.1,RV and Auto Parts,Other,Amazon,Ships from and sold by Amazon.com.
66,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",32.71,16.93,24.1,RVTravelMats,Other,Amazon,Ships from and sold by Amazon.com.
67,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",32.99,16.93,24.1,Hanna RV and Trailer Supply,Other,Amazon,Ships from and sold by Amazon.com.
68,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",33.14,16.93,24.1,ProValue Parts,Other,Amazon,Ships from and sold by Amazon.com.
69,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",33.18,16.93,24.1,SmithRV,Other,Amazon,Ships from and sold by Amazon.com.
70,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",33.28,16.93,24.1,Powerboats UnlimitedNY,Other,Amazon,Ships from and sold by Amazon.com.
71,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",35.38,16.93,24.1,RV Cove,Other,Amazon,Ships from and sold by Amazon.com.
72,"303 (30306) Protectant Trigger Sprayer, 32 fl. Oz",39.85,16.93,24.1,Mr. Repairo,Other,Amazon,Ships from and sold by Amazon.com.
73,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",19.99,21.92,29.1,WEGOTTHEGOODS4U,Other,Amazon,Ships from and sold by Amazon.com.
74,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",19.99,21.92,29.1,4Wheel Online,Other,Amazon,Ships from and sold by Amazon.com.
75,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",22.86,21.92,29.1,HARVARD MARINE,Other,Amazon,Ships from and sold by Amazon.com.
76,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",22.99,21.92,29.1,"Sparkle Auto, LLC",Other,Amazon,Ships from and sold by Amazon.com.
77,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",23.5,21.92,29.1,Underwoods Auto & Marine LLC,Other,Amazon,Ships from and sold by Amazon.com.
78,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",24.32,21.92,29.1,BIC Warehouse,Other,Amazon,Ships from and sold by Amazon.com.
79,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",24.7,21.92,29.1,Camper's Paradise,Other,Amazon,Ships from and sold by Amazon.com.
80,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",25.23,21.92,29.1,BAP0006,Other,Amazon,Ships from and sold by Amazon.com.
81,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",25.42,21.92,29.1,Gatzies,Other,Amazon,Ships from and sold by Amazon.com.
82,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",25.64,21.92,29.1,toolboxsupply,Other,Amazon,Ships from and sold by Amazon.com.
83,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",26.31,21.92,29.1,ShopChanute,Other,Amazon,Ships from and sold by Amazon.com.
84,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",26.75,21.92,29.1,4Wheel Online,Other,Amazon,Ships from and sold by Amazon.com.
85,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",28.48,21.92,29.1,Rex & Sons RV's,Other,Amazon,Ships from and sold by Amazon.com.
86,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",28.63,21.92,29.1,Ron's Home and Hardware,Other,Amazon,Ships from and sold by Amazon.com.
87,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",28.92,21.92,29.1,AutoPartsWAY,Other,Amazon,Ships from and sold by Amazon.com.
88,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",29.1,21.92,29.1,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
89,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",29.98,21.92,29.1,Baxter Auto Parts,Other,Amazon,Ships from and sold by Amazon.com.
90,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",30.0,21.92,29.1,Got-Chrome,Other,Amazon,Ships from and sold by Amazon.com.
91,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",32.24,21.92,29.1,RV and Auto Parts,Other,Amazon,Ships from and sold by Amazon.com.
92,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",33.27,21.92,29.1,ProValue Parts,Other,Amazon,Ships from and sold by Amazon.com.
93,"303 (30313-CSR) Aerospace Protectant Trigger Sprayer, 32 Fl. oz.",33.34,21.92,29.1,"UnbeatableSale, Inc",Other,Amazon,Ships from and sold by Amazon.com.
94,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",25.67,18.64,25.67,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
95,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",26.28,18.64,25.67,AbcGreatDeal,Other,Amazon,Ships from and sold by Amazon.com.
96,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",26.39,18.64,25.67,WEGOTTHEGOODS4U,Other,Amazon,Ships from and sold by Amazon.com.
97,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",27.29,18.64,25.67,"Sparkle Auto, LLC",Other,Amazon,Ships from and sold by Amazon.com.
98,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",27.95,18.64,25.67,HARVARD MARINE,Other,Amazon,Ships from and sold by Amazon.com.
99,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",30.21,18.64,25.67,4Wheel Online,Other,Amazon,Ships from and sold by Amazon.com.
100,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",30.31,18.64,25.67,Outdoor Shopping,Other,Amazon,Ships from and sold by Amazon.com.
101,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",31.1,18.64,25.67,e autoaccessories,Other,Amazon,Ships from and sold by Amazon.com.
102,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",32.08,18.64,25.67,AutoPartsWAY,Other,Amazon,Ships from and sold by Amazon.com.
103,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",32.73,18.64,25.67,Rainier Part Shop,Other,Amazon,Ships from and sold by Amazon.com.
104,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",33.0,18.64,25.67,Got-Chrome,Other,Amazon,Ships from and sold by Amazon.com.
105,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",35.46,18.64,25.67,RV and Auto Parts,Other,Amazon,Ships from and sold by Amazon.com.
106,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",35.79,18.64,25.67,Autoplicity,Other,Amazon,Ships from and sold by Amazon.com.
107,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",36.63,18.64,25.67,SmithRV,Other,Amazon,Ships from and sold by Amazon.com.
108,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",36.65,18.64,25.67,ProValue Parts,Other,Amazon,Ships from and sold by Amazon.com.
109,"303 (30606) Fabric Guard Trigger Sprayer, 32 fl. oz.",38.31,18.64,25.67,IPC-Store,Other,Amazon,Ships from and sold by Amazon.com.
110,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",12.73,8.24,13.64,EasyGlobalBuying,Other,Amazon,Ships from and sold by Amazon.com.
111,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",13.64,8.24,13.64,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
112,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",13.99,8.24,13.64,make you smile,Other,Amazon,Ships from and sold by Amazon.com.
113,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",14.78,8.24,13.64,SellerTech0101,Other,Amazon,Ships from and sold by Amazon.com.
114,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",15.65,8.24,13.64,Janitor Supply Depot,FBA,Amazon,Ships from and sold by Amazon.com.
115,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",16.74,8.24,13.64,Sell Lounge Inc.,FBA,Amazon,Ships from and sold by Amazon.com.
116,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",20.28,8.24,13.64,Trademark Supplies,FBA,Amazon,Ships from and sold by Amazon.com.
117,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",22.19,8.24,13.64,Environmental Safety Services,Other,Amazon,Ships from and sold by Amazon.com.
118,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",29.98,8.24,13.64,T. DEALS,Other,Amazon,Ships from and sold by Amazon.com.
119,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",31.94,8.24,13.64,croresbooks,Other,Amazon,Ships from and sold by Amazon.com.
120,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",8.07,8.890000000000002,13.99,Tool Deals,Other,Amazon,Ships from and sold by Amazon.com.
121,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",8.09,8.890000000000002,13.99,"Pro-Safety, Inc",Other,Amazon,Ships from and sold by Amazon.com.
122,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",8.43,8.890000000000002,13.99,"SIM Supply, Inc.",Other,Amazon,Ships from and sold by Amazon.com.
123,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",8.48,8.890000000000002,13.99,Eio,Other,Amazon,Ships from and sold by Amazon.com.
124,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",8.63,8.890000000000002,13.99,BHP SAFETY PRODUCTS,Other,Amazon,Ships from and sold by Amazon.com.
125,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",9.8,8.890000000000002,13.99,Independence Fulfillment Services,Other,Amazon,Ships from and sold by Amazon.com.
126,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",10.51,8.890000000000002,13.99,BestSource OfficeSupplies,Other,Amazon,Ships from and sold by Amazon.com.
127,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",11.93,8.890000000000002,13.99,Beach Audio,Other,Amazon,Ships from and sold by Amazon.com.
128,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",12.0,8.890000000000002,13.99,Safety NW,Other,Amazon,Ships from and sold by Amazon.com.
129,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",12.65,8.890000000000002,13.99,PLEXSUPPLY,Other,Amazon,Ships from and sold by Amazon.com.
130,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",12.98,8.890000000000002,13.99,Dave M Jr.,Other,Amazon,Ships from and sold by Amazon.com.
131,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",12.99,8.890000000000002,13.99,OfficeSupplyExpress,Other,Amazon,Ships from and sold by Amazon.com.
132,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",13.54,8.890000000000002,13.99,BisonOffice,Other,Amazon,Ships from and sold by Amazon.com.
133,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",13.99,8.890000000000002,13.99,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
134,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",14.14,8.890000000000002,13.99,TheFactoryDepot,Other,Amazon,Ships from and sold by Amazon.com.
135,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",14.2,8.890000000000002,13.99,Altex Computers & Electronics,Other,Amazon,Ships from and sold by Amazon.com.
136,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",16.52,8.890000000000002,13.99,BuyVPC,Other,Amazon,Ships from and sold by Amazon.com.
137,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",17.08,8.890000000000002,13.99,TCP Global Corp,Other,Amazon,Ships from and sold by Amazon.com.
138,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",18.96,8.890000000000002,13.99,"UnbeatableSale, Inc",Other,Amazon,Ships from and sold by Amazon.com.
139,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",19.76,8.890000000000002,13.99,BarMac Automotive,Other,Amazon,Ships from and sold by Amazon.com.
140,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",19.89,8.890000000000002,13.99,pcrush-outlet,Other,Amazon,Ships from and sold by Amazon.com.
141,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",20.45,8.890000000000002,13.99,Shoplet,Other,Amazon,Ships from and sold by Amazon.com.
142,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",24.56,8.890000000000002,13.99,Didi VIP Outlet,Other,Amazon,Ships from and sold by Amazon.com.
143,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",32.29,8.890000000000002,13.99,ISS Inc,Other,Amazon,Ships from and sold by Amazon.com.
144,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",33.73,8.890000000000002,13.99,Home Comforts Inc,Other,Amazon,Ships from and sold by Amazon.com.
145,4-Drawer Storage Cart with Organizer Top White,26.73,19.19,30.07,180 Degrees,Other,Amazon,Ships from and sold by Amazon.com.
146,4-Drawer Storage Cart with Organizer Top White,26.78,19.19,30.07,Teylas Treasures LLC,Other,Amazon,Ships from and sold by Amazon.com.
147,4-Drawer Storage Cart with Organizer Top White,30.07,19.19,30.07,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
148,4-Drawer Storage Cart with Organizer Top White,32.11,19.19,30.07,BornIcon,Other,Amazon,Ships from and sold by Amazon.com.
149,4-Drawer Storage Cart with Organizer Top White,35.95,19.19,30.07,Where America Shops,Other,Amazon,Ships from and sold by Amazon.com.
150,4-Drawer Storage Cart with Organizer Top White,36.29,19.19,30.07,Store and Organize,Other,Amazon,Ships from and sold by Amazon.com.
151,4-Drawer Storage Cart with Organizer Top White,36.3,19.19,30.07,Marketplaceace,Other,Amazon,Ships from and sold by Amazon.com.
152,4-Drawer Storage Cart with Organizer Top White,36.3,19.19,30.07,sell4less85,Other,Amazon,Ships from and sold by Amazon.com.
153,4-Drawer Storage Cart with Organizer Top White,38.23,19.19,30.07,C & M Trade,Other,Amazon,Ships from and sold by Amazon.com.
154,4-Drawer Storage Cart with Organizer Top White,51.91,19.19,30.07,Toys US,Other,Amazon,Ships from and sold by Amazon.com.
155,4-Drawer Storage Cart with Organizer Top White,51.95,19.19,30.07,Organization-Store,Other,Amazon,Ships from and sold by Amazon.com.
156,8 Piece Tegu Pocket Pouch Magnetic Wooden Block Set,25.0,25.0,31.13,"YoYo.com (Quidsi Retail, an Amazon company)",Other,Amazon,Ships from and sold by Amazon.com.
157,8 Piece Tegu Pocket Pouch Magnetic Wooden Block Set,31.13,25.0,31.13,Amazon.com,Amazon,Amazon,Ships from and sold by Amazon.com.
